Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Arunnachala Impex Private Limited,Long Term Bank Facilities - Term Loan,IVR BBB- (Reaffirmed),Stable,Rs. 15.59 Cr. (Enhanced from Rs. 7.74 Crore),"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-arunnachala-impex-13may25.pdf
Arunnachala Impex Private Limited,Long Term Bank Facilities - Cash Credit,IVR BBB- (Reaffirmed),Stable,Rs. 167.00 Cr. (Reduced from Rs. 168.00 Crore),"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-arunnachala-impex-13may25.pdf
Arunnachala Impex Private Limited,Short Term Bank Facilities - Letter of Credit/ Bank Guarantee,IVR A3 (Reaffirmed),Nil,Rs. 5.00 Cr.,"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-arunnachala-impex-13may25.pdf
Arunnachala Impex Private Limited,Short Term Bank Facilities - Bank Guarantee/ Letter of credit,IVR A3 (Reaffirmed),Nil,Rs. 25.00 Cr.,"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-arunnachala-impex-13may25.pdf
Best Capital Services Limited,Long Term Fund Based Bank Facilities - Term Loan,IVR BBB (Reaffirmed),Stable,Rs. 68.63 Cr. (Reduced from Rs. 85.20 Crore),"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-bestcapital-services-13may25.pdf
Best Capital Services Limited,Long Term Fund Based Bank Facilities - Term Loan,Withdrawn,Nil,0.00,"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-bestcapital-services-13may25.pdf
Best Capital Services Limited,Long Term Fund Based Bank Facilities - Cash Credit,Withdrawn,Nil,0.00,"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-bestcapital-services-13may25.pdf
Best Capital Services Limited,Long Term Fund Based Bank Facilities - Proposed,IVR BBB (Reaffirmed),Stable,Rs. 81.37 Cr. (Enhanced from Rs. 60.80 Crore),"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-bestcapital-services-13may25.pdf
Best Capital Services Limited,Proposed - Commercial Paper (CP),IVR A3+ (Reaffirmed),Nil,Rs. 25.00 Cr.,"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-bestcapital-services-13may25.pdf
Caprihans India Limited,Long Term Bank Facilities,IVR BB (Assigned),Stable,Rs. 590.63 Cr.,"May 13, 2025",https://www.infomerics.com/admin/uploads/pr-caprihans-13may25.pdf
